Description,Price,Raw OCR Line
kkk PAK NSAVE SYLVIA PARK kkKK,,kkk PAK NSAVE SYLVIA PARK kkKK
x% SP FOOD WAREHOUSE LTD x,,x% SP FOOD WAREHOUSE LTD x
286 HT WELLINGTON HIGHWAY,,286 HT WELLINGTON HIGHWAY
PROOF OF PURCHASE WILL BE REQUIRED,,PROOF OF PURCHASE WILL BE REQUIRED
FOR ALL REFUNDS OR EXCHANGES,,FOR ALL REFUNDS OR EXCHANGES
Tel: €09) 526 1790,,Tel: €09) 526 1790
Order online and collect from the store,,Order online and collect from the store
Go to paknsave.co.nz/shop,,Go to paknsave.co.nz/shop
KIA KAHA. STRESSED OR OVERWHELMED?,,KIA KAHA. STRESSED OR OVERWHELMED?
"CALL OR TEXT 1737 FOR,FREE KORERO",,"CALL OR TEXT 1737 FOR,FREE KORERO"
HANUR& DOCTOR MULTIFLORAL MNK HOMEY 5006 SA,,HANUR& DOCTOR MULTIFLORAL MNK HOMEY 5006 SA
PANS NUTS ALMONDS SLICED 706,$2.45,PANS NUTS ALMONDS SLICED 706 $2.45 +
PANS PEANUT BUTTER CRUNCHY 3756 -,$1.95,PANS PEANUT BUTTER CRUNCHY 3756 - $1.95
PAMS SUGAR BROWN 1G,$2.19,PAMS SUGAR BROWN 1G $2.19
PAHS SALAD MESCLUN 1206,$2.99,PAHS SALAD MESCLUN 1206 $2.99
PAHS HASH BROWNS TRIANGLES 7506,$3.99,PAHS HASH BROWNS TRIANGLES 7506 $3.99
TEGEL HEAL MAKER F/R SHREDDED SATAY 260s ©,$7.99,TEGEL HEAL MAKER F/R SHREDDED SATAY 260s © $7.99
7 BALAKCE DUE,$30.53,7 BALAKCE DUE $30.53
EFTPS,$36.53,EFTPS $36.53
zzeeeeneenyn]nlg |,,zzeeeeneenyn]nlg |
- futh Code = 852546,,- futh Code = 852546
SUB TOTAL,$26.55,SUB TOTAL $26.55
TOTAL G57,$3.93,TOTAL G57 $3.93
TOTAL,$30.53,TOTAL $30.53
CHANGE,$0.00,CHANGE $0.00
PAK NW SAVE SYLVIA PA,,PAK NW SAVE SYLVIA PA
286 HOUNT WELLINGTON,,286 HOUNT WELLINGTON
